,genre_list
1281,christian_rap
1282,tv_theme
1283,jazz_rock_fusion
1284,aggressive_soul
1285,ndombolo
1286,tech_house
1287,alternative_folk
1288,hard_bop
1289,synth_punk
1290,experimental_electronic
1291,dirty_blues
1292,emo_rap
1293,grind_core
1294,french_pop_rock
1295,indian_pop
1296,tango
1297,soul_blues
1298,atonal
1299,mexitón
1300,protest
1301,memphis_blues
1302,vocal_trance
1303,white_power
1304,british_rap
1305,progressive_jazz
1306,classical_and_folk
1307,symphonic
1308,hebrew
1309,riot_grrrl
1310,symphonic_power_metal
1311,alternate_acoustic
1312,jewish_hip_hop
1313,proto_surf_rock
1314,exotica
1315,smooth_jazz
1316,intuitive_folk
1317,yodelling
1318,yoiking
1319,symphonic_metal
1320,cowboy
1321,christian_alternative_rock
1322,slapstick
1323,soul_dance
1324,diy
1325,dance_pop
1326,post_bop
1327,horror_punk
1328,brazilian_rock
1329,rock_classical
1330,hindi
1331,deep_soul
1332,free_jazz
1333,protest_song
1334,comic_opera
1335,holiday
1336,bubblegum
1337,minimalism
1338,abakuá
1339,halloween
1340,lounge
1341,illustrator
1342,irish_soul
1343,hula
1344,contemporary_christian
1345,breton
1346,torch
1347,europop
1348,acid_jazz
1349,a_cappella
1350,asian_fusion
1351,kirtan
1352,minimal
1353,m_base
1354,christmas
1355,blues_punk
1356,canadian_hip_hop
1357,cloud_rap
1358,downtown
1359,norteño
1360,latin
1361,boogaloo
1362,acoustic
1363,madchester
1364,folk_noir
1365,urban_gospel
1366,criolla
1367,shoegaze
1368,crossover
1369,underground
1370,soukous
1371,southern_hip_hop
1372,sevdalinka
1373,lovers_rock
1374,proto_punk
1375,gypsy
1376,midwest_emo
1377,progressive
1378,avant_gardepop
1379,music_hall
1380,slowcore
1381,contemporary_worship
1382,theater_performer
1383,french_hip_hop
1384,adhunik
1385,new_wave
1386,riot_goth
1387,thrash
1388,new_orleans_r&b
1389,new_age_instrumental
1390,funk
1391,totalism
1392,male
1393,progressive_pop
1394,instrumental_metal
1395,roots
1396,acousmatic
1397,comedy_rock
1398,chillwave
1399,american_primitive_guitar
1400,fado
1401,revival_punk
1402,future_bass
1403,g_funk
1404,industrial_dance
1405,english_beat
1406,indian
1407,electric_blues
1408,mathcore
1409,poetry
1410,urban_blues
1411,psychedelic_metal
1412,multilingual
1413,r&bang
1414,bhajan
1415,urban_folk
1416,canadiana_celtic
1417,decima_campesina
1418,deathrock
1419,heartland_rock
1420,haitian_folk
1421,transcendental_pop
1422,fiddle
1423,hip_hop
1424,vocal
1425,modal
1426,ethno_jazz
1427,brill_building
1428,reggae_pop
1429,latin_alternative
1430,alternative_pop
1431,electroclash
1432,neo_progressive_rockressive_rock
1433,canción
1434,uk_hip_hop
1435,melodic_metalcore
1436,industrial_rock
1437,gospel_and_gospel_blues
1438,nueva_ola
1439,punk_rap
1440,ameritopia
1441,space
1442,grand_opera
1443,new_blues
1444,indie
1445,classical_crossover
1446,piano_blues
1447,ska
1448,gothic_country
1449,epic_doom_metal
1450,classic_pop
1451,māori_show_band
1452,electro_industrial
1453,celestial_metal
1454,cool_jazz
1455,space_disco
1456,country_folk
1457,improv
1458,jimi_hendrix_tribute
1459,rock_jazz
1460,alusian
1461,noise_folk
1462,r&g
1463,cha_cha_cha
1464,country_rap
1465,stride
1466,symphony
1467,bass
1468,funeral_doom_metal
1469,sound_alchemy
1470,variety_theater
1471,synth
1472,french_canadian
1473,trance_pop
1474,newgrass
1475,oi!
1476,juke_joint_blues
1477,christian_hip_hop
1478,neo_folk
1479,bhangra
1480,north_mississippi_hill_country_blues
1481,show_tuness
1482,free_improvisation
1483,indietronica
1484,classical_guitar
1485,post_hardcore
1486,twee_pop
1487,conscious_hip_hop
1488,nuevo_flamenco
1489,blue_jump_blues_rock
1490,persian
1491,rapcore
1492,kadans
1493,oldschool
1494,down_tempo
1495,acid_folk
1496,neoclassical_metal
1497,east_coast_hip_hop
1498,glam_noir
1499,orchestral_pop
1500,experimental_literature
1501,choral
1502,new_acoustic
1503,forró
1504,roots_rock
1505,ska_jazz
1506,kuduro
1507,opera_&_musical
1508,world
1509,electro_harmonica
1510,post_rock
1511,quebec_folk
1512,jazz_blues
1513,country_soul
1514,bubblegum_pop
1515,instrumental_guitar
1516,new_rave
1517,future_garage
