,artist,gender,retrieved,genre
11359,Larry Hooper,male,none,none
11360,Jason Sellers,male,https://en.wikipedia.org/wiki/Jason_Sellers,['country']
11361,Rosemary Vandenbroucke,female,none,none
11362,Eminem,male,https://en.wikipedia.org/wiki/Eminem,['hip hop']
11363,No Malice,male,https://en.wikipedia.org/wiki/No_Malice,['hip hop']
11364,Mike Gibbins,male,https://en.wikipedia.org/wiki/Mike_Gibbins,"['rock', 'power pop']"
11365,Efraín Amador,male,none,none
11366,Rhett Akins,male,https://en.wikipedia.org/wiki/Rhett_Akins,['country']
11367,Richard Grieco,male,none,none
11368,Gitane DeMone,female,https://en.wikipedia.org/wiki/Gitane_DeMone,"['deathrock', 'gothic rock', 'experimental', 'dark cabaret', 'jazz']"
11369,Speckled Red,male,https://en.wikipedia.org/wiki/Speckled_Red,"['blues', 'boogie-woogie']"
11370,Guy Michelmore,male,none,none
11371,Sally Ann Triplett,female,none,none
11372,Romero Lubambo,male,https://en.wikipedia.org/wiki/Romero_Lubambo,['brazilian jazz']
11373,Jennifer Arroyo,female,https://en.wikipedia.org/wiki/Jennifer_Arroyo,['heavy metal']
11374,Etta Britt,female,https://en.wikipedia.org/wiki/Etta_Britt,"['r&b', 'soul', 'blues']"
11375,Robyne Dunn,female,https://en.wikipedia.org/wiki/Robyne_Dunn,"['jazz', 'pop']"
11376,C Duncan,male,https://en.wikipedia.org/wiki/C_Duncan,"['indie pop', 'indie folk', 'dream pop']"
11377,Mary Hansen,female,https://en.wikipedia.org/wiki/Mary_Hansen,"['experimental pop', 'indie pop', 'experimental rock', 'psychedelic rock']"
11378,Ridley Bent,male,https://en.wikipedia.org/wiki/Ridley_Bent,"['country', 'rock', 'hip hop']"
11379,Claire Moore,female,none,none
11380,Maury Rosenberg,male,https://en.wikipedia.org/wiki/Maury_Rosenberg,"['polka', 'cajun music', 'zydeco', 'klezmer', 'dance music', 'jazz', 'reggae', ' rock', 'bluegrass', 'funk']"
11381,Steve Vawamas,male,https://en.wikipedia.org/wiki/Steve_Vawamas,"['neoclassical metal', 'hard rock', 'heavy metal']"
11382,Roni Lee,female,https://en.wikipedia.org/wiki/Roni_Lee,"['punk rock', 'new wave']"
11383,Johnny Heartsman,male,https://en.wikipedia.org/wiki/Johnny_Heartsman,"['electric blues', 'soul blues']"
11384,Dean Alexander,male,https://en.wikipedia.org/wiki/Dean_Alexander,['country']
