Id,Label,timeset,frequency,type,modularity_class,pageranks,eigencentrality
Ross_D._Wyllie,Ross_D._Wyllie,,1,Source,62,0.00002,0.012594
Niall_Breslin,Niall_Breslin,,2,Source,9,0.000029,0.013469
Erma_Franklin,Erma_Franklin,,2,Source,62,0.000028,0.0068
Chris_Scalzo,Chris_Scalzo,,1,Source,62,0.00002,0.000347
Diana_DeGarmo,Diana_DeGarmo,,2,Source,62,0.000033,0.019525
Johnny_Christ,Johnny_Christ,,4,Source,31,0.000042,0.005468
Eddie_Perez,Eddie_Perez,,1,Source,62,0.000022,0.000183
Bobby_Sherman,Bobby_Sherman,,1,Source,62,0.00002,0.012594
Matthew_Murphy,Matthew_Murphy,,2,Source,149,0.000028,0.004889
Deborahe_Glasgow,Deborahe_Glasgow,,2,Source,84,0.000031,0.000855
Jack_Casady,Jack_Casady,,2,Source,47,0.000029,0.012095
Mads_Eriksen,Mads_Eriksen,,1,Source,10,0.000019,0.00826
Holly_Henry,Holly_Henry,,2,Source,10,0.000028,0.001673
Bea_Miller,Bea_Miller,,2,Source,9,0.000029,0.015437
Michaela_Anne,Michaela_Anne,,2,Source,10,0.000032,0.008165
